title,company,location,posted,summary,job_salary,job_link
Data & Analytics Intern,The Coca-Cola Company,"Hybrid remote in Atlanta, GA",Posted2 days ago,Understand data life cycle and lineage. Able to translate business needs to technical specifications and insights from data into a compelling story., ,https://www.indeed.com/rc/clk?jk=9f47f89c00ac146e&fccid=6bb4fc4a8a4cb4d9&vjs=3
Data Analytics & Business Intelligence Intern,The Coca-Cola Company,"Atlanta, GA 30313 (Downtown area)",Posted2 days ago,Understand data life cycle and lineage. Passionate with an aptitude to quickly learn new and emerging technologies., ,https://www.indeed.com/rc/clk?jk=d43e0fc1084a6153&fccid=6bb4fc4a8a4cb4d9&vjs=3
Data Science Intern,CO-OP Financial Services,"Alpharetta, GA",Posted11 days ago,Create enterprise level end-to-end data flow diagrams and logical data models. We are seeking a talented Data Science Intern to assist with strategic projects…, ,https://www.indeed.com/rc/clk?jk=a7b714d9d1d3e04f&fccid=085fae7e48252893&vjs=3
Data Management Analyst Intern - Spring 2022,MRI Software,"Atlanta, GA 30326 (Buckhead area)",Posted4 days ago,"Collect data and documents from various sources. Interns will collect data and documents from various sources and process monthly, quarterly, and annual…", ,https://www.indeed.com/rc/clk?jk=a943aba521c6cc8a&fccid=4974627ac3bc5640&vjs=3
Data Science Intern,Honeywell,"Atlanta, GA 30308 (Midtown area)",Posted30+ days ago,"Extracting, transforming, and loading data in preparation for analysis. Refining and petrochemicals process technologies and controls.", ,https://www.indeed.com/rc/clk?jk=3361d3123483bbb0&fccid=50208b5bf45ee3b8&vjs=3
Data Analytics Intern,"Mather Economics, LLC","Atlanta, GA 30350",Posted22 days ago,Verify and monitor ongoing data collection from client website tags to ensure data integrity and consistency. Industry research and data gathering., ,https://www.indeed.com/rc/clk?jk=682937a2060987a5&fccid=69c044cc804b24cb&vjs=3
"Summer 2022 Hybrid Intern, WarnerMedia Sports Data Project M...",WarnerMedia,"Atlanta, GA",Posted30+ days ago,"Meet with stakeholders across functional groups to understand and capture data related needs, gaps and requirements. Experience working with technical projects.", ,https://www.indeed.com/rc/clk?jk=6bf0ab2202e7ed82&fccid=fdb210f6a49b1c13&vjs=3
Intern Business Analyst,The Coca-Cola Company,"Atlanta, GA 30313 (Downtown area)",Posted22 days ago,"This role will provide the candidate with the opportunity to work and develop skillsets in reporting automation (Power BI and Tableau), Power Apps, Supply Chain…", ,https://www.indeed.com/rc/clk?jk=81e3c3fe27dec378&fccid=6bb4fc4a8a4cb4d9&vjs=3
Data Analytics Intern,Cox Communications Inc,"Atlanta, GA 30328",Posted28 days ago,"Experience in data visualization solutions and data visualization tools. Tests new technologies, tools, and data. Job Level: Intern/Co-op.", ,https://www.indeed.com/rc/clk?jk=259501f3ad5726d4&fccid=c7e6b037b4d816c9&vjs=3
Data Analyst Intern,Jackson Healthcare LLC,"Alpharetta, GA 30009",Posted1 day ago,As a data intern you will have the opportunity to partner with our data team to support our data and corporate project. ESSENTIAL FUNCTIONS AND BASIC DUTIES:, ,https://www.indeed.com/rc/clk?jk=82339e07302728c6&fccid=abc8293b09c83aa1&vjs=3
"Intern, Analytical Chemist",The Coca-Cola Company,"Atlanta, GA 30313 (Downtown area)",Posted4 days ago,Supporting data analysis and creating a report. Basic knowledges of sensory science with experiences of aligning analytical data with sensory evaluations., ,https://www.indeed.com/rc/clk?jk=e02241d4b7864e42&fccid=6bb4fc4a8a4cb4d9&vjs=3
"Summer Intern, Data Visualization Marketing Analyst",SiriusXM,"Remote in Atlanta, GA",Posted18 days ago,The intern will be responsible for distilling internal data into key metrics and insights related to Pandora's on- and off-platform marketing efforts., ,https://www.indeed.com/rc/clk?jk=eb6b8fbe4f08cb69&fccid=25039f950f78d541&vjs=3
"IT Summer 2022 Intern – Atlanta, GA or Eagan, MN",Delta,"Atlanta, GA",Posted30+ days ago,"Interns may be assigned to assist in providing computer software development, business analysis, data analytics and/or technical support for IT operations in…", ,https://www.indeed.com/rc/clk?jk=6ce3c93f42093866&fccid=3f721eb1d31080a6&vjs=3
Financial Crimes Unit Data & Analytics Tech Intern-Summer 20...,PRICE WATERHOUSE COOPERS,"Atlanta, GA 30309 (Midtown area)",Posted2 days ago,"Handle, manipulate and analyse data and information responsibly. You'll make impactful decisions by mixing mind and machine to leverage data, understand and…", ,https://www.indeed.com/rc/clk?jk=c4cbc14615bd7cd7&fccid=5e964c4afc56b180&vjs=3
Data Science Intern,Novelis Corporate HQ,"Remote in Atlanta, GA",Posted30+ days ago,Novelis manufacturing processes produce the operational run-time data for each coil across 15+ machine centers in various plant throughout the globe., ,https://www.indeed.com/rc/clk?jk=8679d69c5f7dac7d&fccid=9d58b2ccf32109ad&vjs=3
2022 Undergraduate Summer Internship Program - Data Analytic...,U.S. Bank,"Atlanta, GA",Posted30+ days ago,Build advanced data visualization presentations & reports. Prepare data for consumption into machine learning models. Pursuing a Bachelor's degree.,Full-time +1,https://www.indeed.com/rc/clk?jk=4030d715d8fbc89a&fccid=ae5bfc395c530fbc&vjs=3
Data Services Analyst Intern,Children's Healthcare of Atlanta,"Brookhaven, GA 30329",Posted3 days ago,Job DescriptionSeeking an intern to assist in technical implementation and documentation of projects in Children’s Business Intelligence Data Services…,Full-time +1,https://www.indeed.com/rc/clk?jk=7bbbda81aae5f4fc&fccid=5d7180a195e12cf4&vjs=3
Data Science Accelerator Internship - Summer 2022,Truist Financial,"Atlanta, GA 30309 (Midtown area)",Posted22 days ago,Work alongside experts to complete data & analytics projects that serve business objectives and drive value. 1st shift (United States of America).,Temporary +3,https://www.indeed.com/rc/clk?jk=b88ff4492f293839&fccid=035229327af06091&vjs=3
Sustainability Intern,UNITED PARCEL SERVICE,"Atlanta, GA 30328",Posted18 days ago,Demonstrates experience in data analysis. Assists with improving and streamlining data collection for corporate sustainability reporting process.,Internship,https://www.indeed.com/rc/clk?jk=331eda0e8a6d11eb&fccid=fcf465e707df52fb&vjs=3
Data Science Intern,Ryder System,"Atlanta, GA 30309 (Midtown area)",Posted4 days ago,The Ryder Internship program will allow students to apply their knowledge into current Ryder projects. Interns will develop a corporate business sense by…,Internship,https://www.indeed.com/rc/clk?jk=0161072a0cfdc96b&fccid=22f3171d623451cc&vjs=3
Data Science Intern - University Students - FinLab,McKinsey & Company,"Atlanta, GA",Posted4 days ago,"You will perform statistical data analyses, data mining and optimizations using multiple tools and techniques to get insights from large complex data sets.",Internship,https://www.indeed.com/rc/clk?jk=14452a12ce9e0293&fccid=6576e7250aa78c3c&vjs=3
Data Engineer - Intern,Artera,"Atlanta, GA",Posted9 days ago,Going through data sources to interpret data and draw conclusions. Help in data mining: Digging deep into batches of complex data and large data sets to spot…,Internship,https://www.indeed.com/rc/clk?jk=f1fc7d2474bbdd54&fccid=549e8ec12e61cc81&vjs=3
"Intern, Supply Chain",HD Supply,"Atlanta, GA",Posted7 days ago,Demonstrates skill in data analysis and techniques by resolving missing/incomplete information and inconsistencies/anomalies in routine research/data.,Internship,https://www.indeed.com/rc/clk?jk=1ab1114e98cb1b20&fccid=a19e63c0dc2e301a&vjs=3
Data Analyst - Procurement,The Coca-Cola Company,"Atlanta, GA 30313 (Downtown area)",Posted22 days ago,This role will provide the candidate with the opportunity to work and develop skillsets in Procurement – Supply Chain.,Full-time +1,https://www.indeed.com/rc/clk?jk=9e4f7061c4ab1039&fccid=6bb4fc4a8a4cb4d9&vjs=3
"Intern, BI and Data Insights",Transportation Insight,"Atlanta, GA",Posted2 days ago,"Moderate Excel & SQL capabilities with relative experience in data visualization. Ability to define problems, collect data, establish facts, and draw valid…",Full-time +1,https://www.indeed.com/company/Human-resource-admi/jobs/Intern-b5c7401febe7cc48?fccid=510610a77968a67a&vjs=3
DT Intern,GE Corporate,"Atlanta, GA 30305 (Buckhead area)",Posted30+ days ago,"Prior intern, co-op, or research experience in software, IT or relevant area. Digital intern assignments, typically 10 to 12 weeks in length, are dynamic and…",Full-time +1,https://www.indeed.com/rc/clk?jk=7841ed5896158b90&fccid=c5c99ec01e2125aa&vjs=3
2022 Summer Internship - Data Analyst,Cox Automotive,"Remote in Atlanta, GA+3 locations",Posted30+ days ago,"Handle data preparation and data analysis portions of various projects. They also build and validate metrics, monitor data quality, analyze various forms of…",$25 - $30 an hour,https://www.indeed.com/rc/clk?jk=9184396c5e2d9672&fccid=7e465a3d521b3ac3&vjs=3
Summer Solution Analyst - GCI Analytics,McKinsey & Company,"Atlanta, GA",Posted5 days ago,"In this role, you will interface directly with clients to support their use of the data in our benchmarks, working closely with GCI data engineers and the data…",Internship,https://www.indeed.com/rc/clk?jk=46d8fd96599dfe21&fccid=6576e7250aa78c3c&vjs=3
Data Science Internship,Home Depot / THD,"Atlanta, GA 30301 (Buckhead area)+1 location",Posted18 days ago,"During the 12-week period, interns will focus on working with a variety of data science roles and functions to translate business questions into actionable…",Internship,https://www.indeed.com/rc/clk?jk=6b350341c315247b&fccid=82e58e9861d48566&vjs=3
